번호,상품코드,상품명,소비자가격,이미지,분류,모델번호,브랜드,규격
50,4810,SS2R Squared 레드,,4810_3.jpg,퍼터그립,K006-33,Super Stroke,직경 : 1.00인치 / 길이 : 10.50인치 / 무게 : 65g / 내경 : 0.58인치
51,4811,TX1 Standard 블랙 (립),,4811_3.jpg,클럽그립,B301-01,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
52,4812,TX1 Standard 블루 (라운드),,4812_3.jpg,클럽그립,B301-06,Super Stroke,길이 : 10.75인치 / 무게 : 52g / 내경 : 0.600인치
53,4821,Slim 3.0 퍼플,,4821_3.jpg,퍼터그립,K008-07,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
54,4822,Slim 3.0 그린,,4822_3.jpg,퍼터그립,K008-04,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
55,4872,Odyssey 2.0 Mid Slim,,4872_3.jpg,퍼터그립,K003-06,수퍼스트로크,50g/실버-블루
56,4873,Odyssey 3.0 Slim,,4873_3.jpg,퍼터그립,K003-07,수퍼스트로크,60g/실버-블루
57,4874,Odyssey Tank,,4874_3.jpg,퍼터그립,K003-08,수퍼스트로크,129g/실버-블루
58,4888,US Open Mid Slim 2.0,,4888_3.jpg,퍼터그립,2015 LIMITED,Super Stroke,직경 : 1.20인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
59,4889,US Open Slim 3.0,,4889_3.jpg,퍼터그립,2015 LIMITED,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
60,4926,Slim 3.0 블랙/레드,,4926_3.jpg,퍼터그립,K008-09,Super Stroke,직경 : 1.30인치 / 길이 : 10.50인치 / 무게 : 60g / 내경 : 0.58인치
61,4925,Mid Slim 2.0 블랙/레드,,4925_3.jpg,퍼터그립,K007-13,Super Stroke,직경 : 1.20인치 / 길이 : 10.50인치 / 무게 : 50g / 내경 : 0.58인치
